left_rid,right_rid,left_title,right_title,decision,human_decision,fuzzy_score,jev_score,material_diffs
5644,203023505,Sony 5 Disc CD Player - CDPCE375,Sony CDP-CE375 CD Player/Changer - CDPCE375,match,,0.8893333333333333,,
6493,203017999,Denon Stereo Tuner - TU1500RD,Denon TU-1500RD Stereo Radio Tuner - TU1500RD,match,,1.0,,
6726,203111433,KitchenAid Pasta Roller And Cutter - KPRA,KitchenAid Pasta Roller And Cutter - KPRA,match,,1.0,,
6742,202845629,Panasonic Yeast Pro Automatic Breadmaker - SDYD250,Panasonic SDYD250 Automatic Bread Maker,match,,1.0,,
7936,90104307,Panasonic Integrated Telephone System - KXTS108W,Panasonic KX-TS108W Corded Phone,match,,0.7066666666666667,,
8552,90138609,Sony 300 Disc CD Changer - CDPCX355,Sony CDP-CX355 300 Disc MegaStorage CD Changer,match,,0.8981481481481483,,
9071,203024998,Sony 400 Disc MegaStorage CD Changer - CDPCX455,Sony CDP-CX455 CD Player/Changer - CDPCX455,match,,0.8011111111111111,,
9312,90114398,Panasonic Hands-Free Headset - KXTCA86,Panasonic KX-TCA86 Headset,match,,0.7971085963455149,,
9314,90138520,Panasonic Hands Free Headset - KXTCA92,Panasonic KX-TCA92 Headset,match,,0.7971085963455149,,
10640,203024425,Denon Semi-Automatic Turntable - Black Finish - DP29F,Denon DP-29F Analog Record Turntable - DP29F,match,,0.8232851207878135,,
11338,90140166,Sony Xplod 10-Disc Add-On CD/MP3 Changer - CDX565MXRF,Sony CDX-565MXRF 10-Disc CD/MP3 Changer,match,,0.9361660079051383,,
13202,10379358,Panasonic Laser Toner Cartridge - KXFA83,Panasonic Black Toner Cartridge - KX-FA83,match,,0.9204585537918872,,
13213,203025617,Sony Compact Disc Player/Recorder - RCDW500C,Sony Compact Disc Player/Recorder - RCDW500C,review,accepted,1.0,,quantity differs (4 vs 1)
13580,90125772,Sanus WMS3B Black Weather Resistant Small Speaker Wall Mount - WMS3B,Sanus Speaker Mount - WMS3B BLACK,match,,1.0,,
13581,90125786,Sanus WMS3S Silver Weather Resistant Small Speaker Wall Mount - WMS3S,Sanus Wall/Ceiling Speaker Mount - WMS3S SILVER,match,,1.0,,
14061,203025423,Kenwood 6-Disc CD Changer - KDCC669,Kenwood KDC-C669 Car CD Changer - KDCC669,match,,0.9706140350877193,,
14715,203021705,Toshiba Rechargeable 5-Hour Battery Pack - MEDB05LX,Toshiba Lithium Ion Portable DVD Player Battery - MEDB05LX,match,,0.8368119266055045,,
15452,90136420,Sony Stereo Audio Receiver - STRDE197,Sony STR-DE197 - AV Receiver - 100 Watts per Channel,match,,0.7443749340090804,,
16309,203022472,Sony Super Audio CD Player - SCDCE595,Sony SCD-CE595 CD Player - SCDCE595,match,,0.9694444444444443,,
16668,90148258,Omnimount TV Top Shelf Mount - CCH1P,OmniMount TV Top Shelf Mount - CCH1P,match,,1.0,,
16765,204569335,Frigidaire 27' Electric Stack Washer Dryer Combo - FEX831WH,Frigidaire 27'' Electric Stack Washer Dryer Combo - FEX831WH Extra-Large Capacity Wash Tub,match,,1.0,,
16877,202434158,Sony Digital Photo Printer Paper 40 Pack - SVMF40P,Sony Print Paper - SVMF40P,match,,0.9373569794050344,,
17067,90140498,Canon Rechargeable Battery - 9763A001,Canon NB-4L Rechargeable Camera Battery - 9763A001,match,,1.0,,
17187,202041204,Universal IR/RF Remote - MX350,Universal MX-350 Osiris Remote Control - MX350,match,,0.9526315789473684,,
17191,202041195,Universal IR/RF Aeros Remote Control- MX850 - MX850,Universal Aeros IR/RF Remote Control - MX850,match,,1.0,,
17372,10363243,Belkin AC Anywhere - F5C400300W,Belkin AC Anywhere 300W Power Inverter - F5C400-300W,match,,0.8459381644223956,,
17479,90145972,Weber Performer 22-1/2' Charcoal Grill - 841001,Weber 841001 Performer 22.5' Charcoal Grill in Black,match,,0.9916171904111291,,
17596,90139261,Sanus 13' - 30' Flat Panel TV Black Wall Mount - VM1B,Sanus Flat Panel TV Wall Mount - VM1B,match,,1.0,,
17872,90145561,Sanus 15' - 40' Flat Panel TV Silver Wall Mount - VM400S,Sanus Flat Panel TV Wall Mount - VM400S,match,,1.0,,
17873,90145584,Sanus 15' - 40' Flat Panel TV Black Wall Mount - VM400B,Sanus Flat Panel TV Wall Mount - VM400B,match,,1.0,,
17906,204274644,Frigidaire Electric Dryer - FEQ1442WH,Frigidaire Electric Dryer - FEQ1442WH 5.8 Cubic Foot Super Capacity Drum,match,,0.9742702251876564,,
18524,90145909,Weber Performer 22-1/2' Charcoal Grill - 848001,Weber 848001 Performer 22.5' Charcoal Grill in Dark Blue,match,,0.9662903278279635,,
18960,202067544,Nikon AF Speedlight Accessory - SB600,Nikon Speedlight SB-600 AF Flash Light - 4802,match,,0.7645121951219512,,
19141,90145586,Sanus Universal Projector Ceiling Mount - Black Finish - VMPR1B,Sanus Universal Projector Ceiling Mount - VMPR1B,match,,1.0,,
19604,203025446,Kenwood iPod Mobile Interface - KCAIP500,Kenwood KCA-IP500 iPod Interface/Controller - KCAIP500,match,,0.9202127659574466,,
19672,203088013,Sony 400-Disc DVD/SA-CD/CD Mega Changer - DVPCX995V,Sony DVPCX995V DVD Player,match,,0.7917611336032389,,
19676,90145560,Sanus 32' - 84' Flat Panel TV Black Tilting Wall Mount - VMPL3B,Sanus VisionMount Flat Panel TV Wall Mount - VMPL3B,match,,0.9640259740259741,,
20447,90128026,Sony DVD-R Recordable Camcorder Media - 3DMR30L1H,Sony Mini DVD-R Media - 3DMR30L1H,match,,1.0,,
20448,10377226,Sony VAIO Neoprene Laptop Carrying Case - Black Finish - VGPAMC3,Sony Notebook and AC Adapter Cases - VGPAMC3,match,,0.8355870020964361,,
20458,201953021,Canon Cyan Photo Ink Cartridge - Cyan - CLI8PC,Canon CLI-8PC Photo Cyan Ink Cartridge - 0624B002,match,,0.89686187299234,,
20459,201953025,Canon Magenta Photo Ink Cartridge - Magenta - CLI8PM,Canon CLI-8PM Photo Magenta Ink Cartridge - 0625B002,match,,0.8866550116550117,,
20461,201692679,Canon Yellow Ink Cartridge - Yellow - CLI8Y,Canon CLI-8Y Ink Cartridge - 0623B002,match,,0.7998863636363637,,
20532,90105654,Belkin Pro Series 16 Ft. USB 2.0 Cable - F3U13316,BELKIN PRO SERIES USB DEVICE CABLE 16 - F3U133-16,match,,0.9396938775510203,,
21047,10373002,Sony VAIO Neoprene Notebook With AC Adapter Case - Black Finish - VGPAMC2,Sony VAIO Notebook and AC Adapter Case - VGPAMC2,match,,1.0,,
21297,202070149,Sony Memory Stick Duo Replacement Adaptor - Silver/Blue Finish - MSACM2,Sony Memory Stick Duo Replacement Adapter - MSACM2,match,,1.0,,
21989,204274645,Frigidaire Electric White Dryer - FEQ332WH,Frigidaire Electric Dryer - FEQ332WH 5.7 Cu.Ft. Super Capacity Drum,match,,0.935067684608969,,
22100,201953026,Canon High Capacity Color Ink Cartridge - Color Ink - CL51,"Canon CL-51 High Capacity Color Ink Cartridge For PIXMA MP450, PIXMA iP6210D and PIXMA iP6220D Printers - 0618B002",match,,0.8774127848356523,,
22101,201953039,Canon Photo Ink Cartridge - CL52,Canon CL-52 Photo Ink Cartridge For PIXMA iP6210D and PIXMA iP6220D Printers - 0619B002,match,,0.8337131462754594,,
22242,203198950,Cuisinart Programmable Coffeemaker - Stainless Steel Finish - DCC2000,"DCC-2000 Coffee Maker (12 Cup, Stainless Steel)",match,,0.7139283940168896,,
22306,202291459,Sanus Center Channel Speaker Mount - Black Finish - VMCC1B,Sanus Center Channel Speaker Mount - VMCC1B,match,,1.0,,
22382,90131941,Sanus 32' - 50' Flat Panel TV Black Wall Mount - VMPL50B,Sanus Flat Panel TV Wall Mount - VMPL50-B,match,,0.9368650455528609,,
22558,10412590,Netgear RangeMax Wireless Access Point - White Finish - WPN802NA,Netgear RangeMax WPN802 Wireless Access Point - WPN802NA,match,,1.0,,
22729,202473822,Sony Lightweight Tripod - Black Finish - VCTR100,SONY COMPACT TRIPOD 14'/39' *NIC* - VCTR100,match,,0.8189269746646797,,
22940,203472622,Panasonic Plain Paper Fax/Copier With All-Digital Answering System - Silver Finish - KXFP145,Panasonic KX-FP145 Plain Paper Thermal Transfer Fax/Copier - KXFP145,match,,0.8723863636363636,,
23006,202456880,Tivo Wireless Adapter - AG0100,Tivo AG0100 Wireless G USB Network Adapter,match,,1.0,,
23325,202456903,TiVo Series2 Dual Tuner Digital Video Recorder - TCD649080,TiVo TCD649080 - Series2 Digital Video Recorder - Up to 80 Hours Capacity,match,,0.9843456924754633,,
23537,203069939,Universal RF Series MasterControl Remote Control - RF20,Universal MasterControl Universal Learning Remote Control - RF20,match,,1.0,,
23651,202784323,Pioneer 6.5' 2-Way Marine White Speakers - TSMR1640,Pioneer Nautica TS-MR1640 Marine Speaker - TS-MR1640,match,,0.7938618925831201,,
23658,203065730,Apple USB Modem - White Finish - MA034ZA,Apple V.92 Data/Fax USB Modem - MA034ZA,match,,0.9070373719107896,,
23837,202635467,Sony Learning Remote Control - Silver Finish - RMVL600,Sony Learning Remote Control - RMVL600,match,,1.0,,
24316,204569292,Whirlpool Duet Sport 27' White Electric Dryer - WED8300SWH,Whirlpool Duet Sport 27'' Electric Dryer - WED8300SWH 6.7 Cubic Foot Capacity,match,,1.0,,
24368,202899996,Panasonic Digital Camera Battery - CGAS007A1B,Panasonic CGA-S007A/1B Lithium Ion Digital Camera Battery,match,,0.8462745098039215,,
24386,203340101,Nikon Rechargeable Li-Ion Battery - Black Finish - 25334,Nikon EN-EL3e Lithium Ion Digital Camera Battery - 25334,match,,0.7878571428571428,,
24402,203897877,KitchenAid 5-Speed Blender - Red Finish - KSB560ER,KitchenAid 5-Speed Blender - Red Finish - KSB560ER,match,,1.0,,
24571,202537967,Panasonic 2 Line 5.8 GHz FHSS GigaRange Expandable Digital Cordless Answering System - Black Finish - KXTG6700B,Panasonic KX-TG6700B Cordless Telephone,match,,0.6429605263157894,,
24693,203087681,Denon Fully Automatic Analog Turntable - DP300F,Denon DP-300F Analog Record Turntable - DP300F,match,,0.9314236838430386,,
24825,202900025,Panasonic Plain Paper Fax/Copier With Cordless Phone Answering System - Grey Finish - KXFG2451,Panasonic KX-FG2451 Plain Paper Thermal Transfer Fax/Copier - KX-FG2451,match,,0.7583742025518341,,
25136,203087638,Denon 5 Disc CD Player - Black Finish - DCM390,Denon DCM-390 5 Disc CD Changer - DCM390,match,,0.9252906976744185,,
25291,203308084,Sirius Sportster 4 With Car Kit - SP4TK1,Directed Electronics Sportster 4 Sirius Satellite Radio Receiver - SP4TK1,match,,0.958824942063616,,one title looks like a bundle/kit
25364,203201060,Olympus Digital Camera Neoprene Soft Case - Black With Grey Finish - 202066,Olympus Neoprene Soft Camera Case - 202066,match,,1.0,,
25388,90145568,Sanus 9' - 17' VisionMount Series Under Cabinet Flat Panel TV Silver Wall Mount - VMUC1S,Sanus Under Cabinet LCD TV Mount - VMUC1S,match,,0.9447520982954054,,
25413,90049795,Sony MiniDV Cleaning Cassette - DVM12CLD,Sony MiniDV Head Cleaner - DVM12CLD,match,,1.0,,
25550,202827713,Sanus 15' To 40' Flat Panel Black TV Wall Mount - ML22B1,Sanus VisionMount Flat Panel TV Wall Mount - ML22-B1,match,,0.8665094339622641,,
25670,203389465,Olympus Lithium Ion Rechargeable Battery - LI42B,Olympus LI-42B Lithium Ion Digital Camera Battery - 202034,match,,0.8133178142612105,,
25732,203341506,Olympus Premium Slim Leather Case In Black - 202087,Olympus Slim Leather Case - 202087,match,,1.0,,
