left_rid,right_rid,left_title,right_title,human_decision,fuzzy_score,jev_score,material_diffs,rule_reason
552,90132241,Sony Turntable - PSLX350H,Sony PS-LX350H Belt-Drive Turntable,,0.7845238095238095,,one title looks like an accessory,rules did not resolve
580,202812620,Bose Acoustimass 5 Series III Speaker System - AM53BK,Bose Acoustimass 5 Series III Speaker System - 21725,,0.5676870748299321,,,rules did not resolve
580,202812567,Bose Acoustimass 5 Series III Speaker System - AM53BK,Boss 161 Speaker,,0.3831159420289856,,,rules did not resolve
4696,90049928,Sony Switcher - SBV40S,Sony SB-V40S A/V Selector - SBV40S,,0.8539285714285714,,quantity differs (1 vs 4),rules did not resolve
6284,202812567,Bose 27028 161 Bookshelf Pair Speakers In White - 161WH,Boss 161 Speaker,,0.37511737089201874,,,rules did not resolve
6284,203459314,Bose 27028 161 Bookshelf Pair Speakers In White - 161WH,Bose In-Ear Earphone - INEARHEADPHONES,,0.31500000000000006,,,rules did not resolve
6726,203897877,KitchenAid Pasta Roller And Cutter - KPRA,KitchenAid 5-Speed Blender - Red Finish - KSB560ER,,0.3780887651674168,,,rules did not resolve
7195,90105458,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10,Sony h.ear Stereo Earphones - MDRJ10/BLUE,,0.8047101449275363,,,rules did not resolve
7783,202900227,Panasonic 2-Line Integrated Telephone - KXTSC14W,Panasonic KX-TSC14W 2-Line Telephone,,0.9071812596006145,,quantity differs (1 vs 2),rules did not resolve
8060,90105056,Panasonic 2-Line Integrated Telephone System - KXTS208W,Panasonic KX-TS208W Corded Phone,,0.6739811912225706,,quantity differs (1 vs 2),rules did not resolve
8060,202900227,Panasonic 2-Line Integrated Telephone System - KXTS208W,Panasonic KX-TSC14W 2-Line Telephone,,0.3869431643625192,,quantity differs (1 vs 2),rules did not resolve
9071,90138609,Sony 400 Disc MegaStorage CD Changer - CDPCX455,Sony CDP-CX355 300 Disc MegaStorage CD Changer,,0.4293010752688171,,,rules did not resolve
9312,90138520,Panasonic Hands-Free Headset - KXTCA86,Panasonic KX-TCA92 Headset,,0.2971085963455149,,,rules did not resolve
