method,threshold,precision,recall_e2e,fp,tp
B_fuzzy,0.3,0.2974927675988428,0.936267071320182,1457,617
B_fuzzy,0.32,0.3186351706036745,0.921092564491654,1298,607
B_fuzzy,0.33999999999999997,0.34445083381253594,0.9089529590288316,1140,599
B_fuzzy,0.36,0.3837733419188667,0.9044006069802731,957,596
B_fuzzy,0.38,0.41910192444761224,0.8922610015174507,815,588
B_fuzzy,0.4,0.4624,0.8770864946889226,672,578
B_fuzzy,0.42,0.5030674846625767,0.8710166919575114,567,574
B_fuzzy,0.44,0.5398655139289145,0.8528072837632777,479,562
B_fuzzy,0.45999999999999996,0.5705394190871369,0.834597875569044,414,550
B_fuzzy,0.48,0.6006637168141593,0.8239757207890743,361,543
B_fuzzy,0.5,0.6442307692307693,0.8133535660091047,296,536
B_fuzzy,0.52,0.6743295019157088,0.8012139605462822,255,528
B_fuzzy,0.54,0.6896551724137931,0.7890743550834598,234,520
B_fuzzy,0.56,0.7146814404432132,0.7830045523520486,206,516
B_fuzzy,0.5800000000000001,0.7271428571428571,0.7723823975720789,191,509
B_fuzzy,0.6,0.7716049382716049,0.7587253414264037,148,500
B_fuzzy,0.62,0.8152542372881356,0.7298937784522003,109,481
B_fuzzy,0.64,0.8454706927175843,0.7223065250379362,87,476
B_fuzzy,0.6599999999999999,0.8686679174484052,0.7025796661608498,70,463
B_fuzzy,0.6799999999999999,0.8806262230919765,0.6828528072837633,61,450
B_fuzzy,0.7,0.906054279749478,0.6585735963581184,45,434
B_fuzzy,0.72,0.9186813186813186,0.6342943854324734,37,418
B_fuzzy,0.74,0.9271070615034168,0.6176024279210925,32,407
B_fuzzy,0.76,0.927536231884058,0.582701062215478,30,384
B_fuzzy,0.78,0.9341772151898734,0.5599393019726859,26,369
B_fuzzy,0.8,0.9395604395604396,0.5189681335356601,22,342
B_fuzzy,0.8200000000000001,0.9401197604790419,0.4764795144157815,20,314
B_fuzzy,0.8400000000000001,0.9358974358974359,0.44309559939301973,20,292
B_fuzzy,0.8600000000000001,0.9601449275362319,0.40212443095599393,11,265
B_fuzzy,0.8799999999999999,0.9565217391304348,0.36722306525037934,11,242
B_fuzzy,0.8999999999999999,0.9559471365638766,0.3292867981790592,10,217
B_fuzzy,0.9199999999999999,0.9615384615384616,0.30349013657056145,8,200
B_fuzzy,0.94,0.9672131147540983,0.26858877086494687,6,177
B_fuzzy,0.96,0.9757575757575757,0.24430955993930198,4,161
B_fuzzy,0.98,0.9714285714285714,0.20637329286798178,4,136
B_fuzzy,1.0,0.9669421487603306,0.17754172989377845,4,117
C_supervised,0.3,0.44516594516594515,0.936267071320182,769,617
C_supervised,0.32,0.46555639666919,0.9332321699544764,706,615
C_supervised,0.33999999999999997,0.4845360824742268,0.9271623672230652,650,611
C_supervised,0.36,0.5020644095788604,0.9226100151745068,603,608
C_supervised,0.38,0.5224137931034483,0.9195751138088012,554,606
C_supervised,0.4,0.5397676496872207,0.9165402124430956,515,604
C_supervised,0.42,0.55637707948244,0.91350531107739,480,602
C_supervised,0.44,0.5723809523809524,0.9119878603945372,449,601
C_supervised,0.45999999999999996,0.5872549019607843,0.9089529590288316,421,599
C_supervised,0.48,0.5975855130784709,0.9013657056145675,400,594
C_supervised,0.5,0.6122026887280249,0.8983308042488619,375,592
C_supervised,0.52,0.6178947368421053,0.8907435508345979,363,587
C_supervised,0.54,0.6299892125134844,0.8861911987860395,343,584
C_supervised,0.56,0.6409691629955947,0.8831562974203339,326,582
C_supervised,0.5800000000000001,0.6523702031602708,0.8770864946889226,308,578
C_supervised,0.6,0.6643598615916955,0.874051593323217,291,576
C_supervised,0.62,0.6781065088757396,0.8694992412746586,272,573
C_supervised,0.64,0.6909975669099757,0.8619119878603946,254,568
C_supervised,0.6599999999999999,0.7026022304832714,0.8603945371775418,240,567
C_supervised,0.6799999999999999,0.7206632653061225,0.8573596358118362,219,565
C_supervised,0.7,0.7322834645669292,0.8467374810318664,204,558
C_supervised,0.72,0.7436582109479306,0.8452200303490136,192,557
C_supervised,0.74,0.7606019151846786,0.8437025796661608,175,556
C_supervised,0.76,0.772027972027972,0.8376327769347496,163,552
C_supervised,0.78,0.7851002865329513,0.8315629742033384,150,548
C_supervised,0.8,0.7944606413994169,0.8270106221547799,141,545
C_supervised,0.8200000000000001,0.8119402985074626,0.8254931714719271,126,544
C_supervised,0.8400000000000001,0.8312693498452013,0.8148710166919575,109,537
C_supervised,0.8600000000000001,0.8467741935483871,0.7966616084977238,95,525
C_supervised,0.8799999999999999,0.8578512396694215,0.787556904400607,86,519
C_supervised,0.8999999999999999,0.8713550600343053,0.7708649468892261,75,508
C_supervised,0.9199999999999999,0.8845470692717584,0.7556904400606981,65,498
C_supervised,0.94,0.9040590405904059,0.7435508345978755,52,490
C_supervised,0.96,0.908203125,0.7056145675265554,47,465
C_supervised,0.98,0.950561797752809,0.6418816388467374,22,423
C_supervised,1.0,,0.0,0,0
D_jev,0.3,0.9844290657439446,0.8634294385432474,9,569
D_jev,0.32,0.9894736842105263,0.8558421851289834,6,564
D_jev,0.33999999999999997,0.9911816578483245,0.8528072837632777,5,562
D_jev,0.36,0.9911504424778761,0.849772382397572,5,560
D_jev,0.38,0.9929078014184397,0.849772382397572,4,560
D_jev,0.4,0.9928825622775801,0.8467374810318664,4,558
D_jev,0.42,0.992818671454219,0.8391502276176024,4,553
D_jev,0.44,0.9945652173913043,0.8330804248861912,3,549
D_jev,0.45999999999999996,0.9945255474452555,0.8270106221547799,3,545
D_jev,0.48,0.994475138121547,0.8194233687405159,3,540
D_jev,0.5,0.9944649446494465,0.8179059180576631,3,539
D_jev,0.52,0.9944341372912802,0.8133535660091047,3,536
D_jev,0.54,0.994413407821229,0.8103186646433991,3,534
D_jev,0.56,0.9981132075471698,0.802731411229135,1,529
D_jev,0.5800000000000001,0.9980916030534351,0.7936267071320182,1,523
D_jev,0.6,0.9980879541108987,0.7921092564491654,1,522
D_jev,0.62,0.9980806142034548,0.7890743550834598,1,520
D_jev,0.64,0.9980582524271845,0.779969650986343,1,514
D_jev,0.6599999999999999,0.998046875,0.7754172989377845,1,511
D_jev,0.6799999999999999,1.0,0.7693474962063733,0,507
D_jev,0.7,1.0,0.7647951441578149,0,504
D_jev,0.72,1.0,0.7617602427921093,0,502
D_jev,0.74,1.0,0.7511380880121397,0,495
D_jev,0.76,1.0,0.7450682852807283,0,491
D_jev,0.78,1.0,0.7329286798179059,0,483
D_jev,0.8,1.0,0.723823975720789,0,477
D_jev,0.8200000000000001,1.0,0.7116843702579666,0,469
D_jev,0.8400000000000001,1.0,0.7040971168437026,0,464
D_jev,0.8600000000000001,1.0,0.6889226100151745,0,454
D_jev,0.8799999999999999,1.0,0.669195751138088,0,441
D_jev,0.8999999999999999,1.0,0.6570561456752656,0,433
D_jev,0.9199999999999999,1.0,0.6176024279210925,0,407
D_jev,0.94,1.0,0.575113808801214,0,379
D_jev,0.96,1.0,0.5144157814871017,0,339
D_jev,0.98,1.0,0.4264036418816389,0,281
D_jev,1.0,1.0,0.2078907435508346,0,137
